bucket,file_name,signed_url_7days
exercise-videos,exercise-1771390284060.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771390284060.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MDI4NDA2MC5NUDQiLCJpYXQiOjE3NzQ3NjAxNDMsImV4cCI6MTc3NTM2NDk0M30.95cRyoNE-XmEjNaZsqnmLAyIwlJ8zT4vYe6g6z9yiZ0
exercise-videos,exercise-1771390361222.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771390361222.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MDM2MTIyMi5NUDQiLCJpYXQiOjE3NzQ3NjAxNDMsImV4cCI6MTc3NTM2NDk0M30.rJercUu5imJeYaqE_Sbw-CfsVK2_N0ouq0yVmBc88bc
exercise-videos,exercise-1771390756601.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771390756601.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MDc1NjYwMS5NUDQiLCJpYXQiOjE3NzQ3NjAxNDMsImV4cCI6MTc3NTM2NDk0M30.B41rGWeVjLnzdi5aXAUsPkS00ek4b2BPXg4VKwNRw4g
exercise-videos,exercise-1771390906215.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771390906215.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MDkwNjIxNS5NUDQiLCJpYXQiOjE3NzQ3NjAxNDQsImV4cCI6MTc3NTM2NDk0NH0.Q0GFaajFJWcJChpte2t0dCPgwUJZgnQWjqTs3b4yMvA
exercise-videos,exercise-1771391070803.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771391070803.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MTA3MDgwMy5NUDQiLCJpYXQiOjE3NzQ3NjAxNDQsImV4cCI6MTc3NTM2NDk0NH0.9g-KqEF2zNTyYPHdlvxTDM6e01aMsfYYaZND5p6Cq9s
exercise-videos,exercise-1771391152479.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771391152479.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MTE1MjQ3OS5NUDQiLCJpYXQiOjE3NzQ3NjAxNDQsImV4cCI6MTc3NTM2NDk0NH0.9trQRumXMuOkFvRPmd0pSthC4-RwGl0SIDKe6CoNChA
exercise-videos,exercise-1771391201554.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771391201554.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MTIwMTU1NC5NUDQiLCJpYXQiOjE3NzQ3NjAxNDQsImV4cCI6MTc3NTM2NDk0NH0.Rup7STvgiN2SVMeL4feTauhagwt6p7C2Ku7Ucx2gVTI
exercise-videos,exercise-1771391237076.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771391237076.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MTIzNzA3Ni5NUDQiLCJpYXQiOjE3NzQ3NjAxNDQsImV4cCI6MTc3NTM2NDk0NH0.zQdC4831rfi2a6__Gh6wm7f4hP9vdUrApiWu_LDakqE
exercise-videos,exercise-1771391391986.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771391391986.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MTM5MTk4Ni5NUDQiLCJpYXQiOjE3NzQ3NjAxNDQsImV4cCI6MTc3NTM2NDk0NH0.peseuqI4fE84TxW18G3sqXj8TqzjoPPVVs445JgFS_Y
exercise-videos,exercise-1771391501053.MP4,https://janlpetkbcgwndibxqha.supabase.co/storage/v1/object/sign/exercise-videos/exercise-1771391501053.MP4?token=eyJraWQiOiJzdG9yYWdlLXVybC1zaWduaW5nLWtleV8zZWRhM2IwYy02NTYwLTRiMTQtYmQxZi1mMzM0Njg1Yzk5OGQiLCJhbGciOiJIUzI1NiJ9.eyJ1cmwiOiJleGVyY2lzZS12aWRlb3MvZXhlcmNpc2UtMTc3MTM5MTUwMTA1My5NUDQiLCJpYXQiOjE3NzQ3NjAxNDQsImV4cCI6MTc3NTM2NDk0NH0.EiGFqT4FbuPSlvOFmGoUJy2qtrKGepLP2_9GNrZHgFY
